,gini,params,AUC
47,0.794154,"{'colsample_bytree': 0.9097584889817869, 'gamma': 6.15623643885843, 'max_delta_step': 4.280150161270272, 'max_depth': 9.20713059169846, 'min_child_weight': 17.389011489976287, 'n_estimators': 284.60787038847275, 'subsample': 0.583506686726351}",0.897077
48,0.7973767999999999,"{'colsample_bytree': 0.6250014572155537, 'gamma': 5.702197721419276, 'max_delta_step': 8.576294895635147, 'max_depth': 8.653053528044776, 'min_child_weight': 10.83952860387982, 'n_estimators': 174.16428389482724, 'subsample': 0.7647317846560224}",0.8986883999999999
49,0.7967915999999999,"{'colsample_bytree': 0.5828164457128389, 'gamma': 4.122405019923189, 'max_delta_step': 9.360527429364074, 'max_depth': 4.164466164751817, 'min_child_weight': 0.7751611416490745, 'n_estimators': 290.4622339269144, 'subsample': 0.598654373484946}",0.8983958
50,0.7945539999999998,"{'colsample_bytree': 0.9194481891653085, 'gamma': 5.659671082854214, 'max_delta_step': 4.771098953518678, 'max_depth': 3.1719344649941252, 'min_child_weight': 12.518590262019318, 'n_estimators': 123.2969560473313, 'subsample': 0.8899386481367817}",0.8972769999999999
51,0.7969188000000003,"{'colsample_bytree': 0.693938780981708, 'gamma': 4.040395036672871, 'max_delta_step': 7.210464232947836, 'max_depth': 4.046477700695798, 'min_child_weight': 11.739663710469063, 'n_estimators': 291.37780017289276, 'subsample': 0.8136043299724124}",0.8984594000000001
52,0.7916627999999999,"{'colsample_bytree': 0.7373776471152087, 'gamma': 3.3118413646236555, 'max_delta_step': 8.095373008870691, 'max_depth': 8.825283113102143, 'min_child_weight': 13.2366022706648, 'n_estimators': 154.85971423697504, 'subsample': 0.4473848045637729}",0.8958313999999999
53,0.795534,"{'colsample_bytree': 0.7804894263703592, 'gamma': 6.4910273865211945, 'max_delta_step': 1.8688041113826437, 'max_depth': 8.024879226556834, 'min_child_weight': 16.12983034454935, 'n_estimators': 179.14270429334988, 'subsample': 0.6886152609242316}",0.897767
54,0.7973176,"{'colsample_bytree': 0.864625090021675, 'gamma': 0.5578255047546097, 'max_delta_step': 2.3560781640861563, 'max_depth': 7.6226187293869305, 'min_child_weight': 18.929526071291026, 'n_estimators': 168.72671653251646, 'subsample': 0.9045309068063424}",0.8986588
55,0.7955592000000002,"{'colsample_bytree': 0.7486363409795952, 'gamma': 6.773512903957689, 'max_delta_step': 1.4886021590703313, 'max_depth': 5.424609856537225, 'min_child_weight': 11.039088666611692, 'n_estimators': 259.369863679888, 'subsample': 0.6652231948717053}",0.8977796000000001
56,0.8000163999999998,"{'colsample_bytree': 0.9233768930968348, 'gamma': 7.5602382641642265, 'max_delta_step': 1.6523478890517163, 'max_depth': 8.494537280847844, 'min_child_weight': 1.3243879968276007, 'n_estimators': 175.36413045225964, 'subsample': 0.8872341628767362}",0.9000081999999999
57,0.7983012000000003,"{'colsample_bytree': 0.7262642679991513, 'gamma': 5.537437028956075, 'max_delta_step': 9.025224646759511, 'max_depth': 7.696980699460326, 'min_child_weight': 10.889896445776788, 'n_estimators': 174.65413194265147, 'subsample': 0.7886985033154562}",0.8991506000000001
58,0.7871716,"{'colsample_bytree': 0.9524581946967603, 'gamma': 5.401786038051576, 'max_delta_step': 4.597410248557809, 'max_depth': 3.443588693358003, 'min_child_weight': 6.435158734924309, 'n_estimators': 192.60841747368323, 'subsample': 0.9971318631027561}",0.8935858
59,0.7957287999999998,"{'colsample_bytree': 0.5186877565594554, 'gamma': 1.1422749204882616, 'max_delta_step': 0.6183605103905332, 'max_depth': 5.09583396378803, 'min_child_weight': 15.094081739782283, 'n_estimators': 109.77392837171823, 'subsample': 0.7176381484344414}",0.8978643999999999
60,0.7961328000000001,"{'colsample_bytree': 0.6688400663652287, 'gamma': 7.4559672095488585, 'max_delta_step': 1.6618516731824773, 'max_depth': 7.517655523910035, 'min_child_weight': 1.8829871956675803, 'n_estimators': 175.8576319575896, 'subsample': 0.5495901560527323}",0.8980664
61,0.8006484,"{'colsample_bytree': 0.5196447308276723, 'gamma': 2.620275190912909, 'max_delta_step': 1.7597001889378072, 'max_depth': 11.987469869473589, 'min_child_weight': 3.3657722380855137, 'n_estimators': 201.79493119368146, 'subsample': 0.8749104477954297}",0.9003242
62,0.795936,"{'colsample_bytree': 0.4409412211450746, 'gamma': 3.82498116859076, 'max_delta_step': 1.9445055549742118, 'max_depth': 11.601808454210037, 'min_child_weight': 4.257060439864322, 'n_estimators': 199.86902584916228, 'subsample': 0.6197977229865179}",0.897968
63,0.8002584000000001,"{'colsample_bytree': 0.8496765659282681, 'gamma': 5.295357807643887, 'max_delta_step': 4.588512847045414, 'max_depth': 9.051197314690478, 'min_child_weight': 7.892133593840148, 'n_estimators': 156.90151234133347, 'subsample': 0.879497244935526}",0.9001292000000001
64,0.7942668000000002,"{'colsample_bytree': 0.561370873981323, 'gamma': 5.951898144976463, 'max_delta_step': 5.151124189680855, 'max_depth': 11.552650980433974, 'min_child_weight': 6.1984665093243745, 'n_estimators': 206.05967070482154, 'subsample': 0.48050572800323893}",0.8971334000000001
65,0.8010244,"{'colsample_bytree': 0.7095602946940276, 'gamma': 1.873867984841, 'max_delta_step': 7.589837888907509, 'max_depth': 10.310480243860749, 'min_child_weight': 4.305083126324996, 'n_estimators': 275.68683201533815, 'subsample': 0.8426619588600843}",0.9005122
66,0.7927140000000001,"{'colsample_bytree': 0.7537236674370227, 'gamma': 1.2416364279845589, 'max_delta_step': 8.169058023991223, 'max_depth': 10.671165853565824, 'min_child_weight': 3.030792417186996, 'n_estimators': 276.0494560003884, 'subsample': 0.4680621813342944}",0.8963570000000001
67,0.7945356000000001,"{'colsample_bytree': 0.761920103470592, 'gamma': 7.690786992398479, 'max_delta_step': 2.8254613582519816, 'max_depth': 9.820812751564532, 'min_child_weight': 2.0181571535959653, 'n_estimators': 175.31707568866386, 'subsample': 0.46034252491175626}",0.8972678000000001
